"","logFC","logCPM","PValue","FDR"
"C8orf85|441376",-2.89038080156427,0.00550988186386839,1.49507249322872e-109,1.39867146475908e-107
"CD177|57126",2.02939512862035,4.38387290055449,2.90204734603333e-109,2.70085877872802e-107
"UGT2A3|79799",2.03051881557251,2.82653264658,1.21222059033135e-108,1.12236630121298e-106
"LBP|3929",-2.50133433619272,1.86167496434773,2.61321010220596e-108,2.40710153106787e-106
"INHBE|83729",-2.57300314860203,0.834547506529881,4.53084970409409e-107,4.15220012168051e-105
"SSX5|6758",-4.51092801321158,-2.35252794547377,7.66319928738498e-107,6.98712617258929e-105
"GAGE12J|729396",-3.29633964218515,-0.968116205798363,8.3113696536617e-107,7.53983948076119e-105
"IGDCC3|9543",2.41189269096181,-1.89712052158734,1.01841564195535e-106,9.19235264361912e-105
"AHSG|197",-2.47509062362261,1.18505514046378,2.65832592255891e-106,2.38744251105015e-104
"SEMA3E|9723",2.00137085349646,3.02679960538658,2.17750850095445e-105,1.94589093005691e-103
"FLG2|388698",2.04480271205922,0.937089778591295,3.49313688980008e-105,3.10612499082124e-103
"LHX8|431707",2.04964416197384,0.582263305235007,4.94143720413068e-105,4.37231995372391e-103
"KRT27|342574",2.14282925356785,-0.756913017127036,6.15532732958336e-104,5.41970536735178e-102
"CCL21|6366",-2.4458235722188,5.3484793143493,1.51923345315296e-103,1.33114494075773e-101
"IGFL3|388555",-2.54187929991562,0.680911713567561,3.29167455571209e-103,2.87014846454857e-101
"KRT79|338785",-2.5536068510735,0.830844913611304,5.68795805914148e-103,4.93560882407243e-101
"NBLA00301|79804",-2.67369490956553,0.182341811059938,7.4995226128416e-103,6.47627044095485e-101
"RELN|5649",-2.52612321586167,1.10340236588689,8.66484867359896e-103,7.44679482656386e-101
"GAGE12D|100132399",-2.43755713648377,3.04514786028628,1.68197703980459e-102,1.4386510280462e-100
"LRRC55|219527",-2.44610886306805,2.70054581940261,2.39950985095616e-102,2.04265383615519e-100
"C1orf173|127254",2.12653709857421,-0.800701238879332,3.50797976281547e-102,2.97218549526846e-100
"TNNT3|7140",-2.8582353950992,-0.371266782002908,5.8819788211437e-102,4.96019265659076e-100
"LOC116437|116437",2.31469131852696,-2.2019786657736,2.01392810157321e-101,1.6903820822644e-99
